season,baker,week,challenge,order_judged,placement,notes,sweet,week_id,order_judged_std,order_judged_prank,order_judged_quartile,order_judged_quartile_1,order_judged_quartile_2,order_judged_quartile_3,order_judged_quartile_4,order_judged_quartile_NA,placement_std,placement_prank,judged_first,judged_last,judged_middle,baker_id,bottom3,prue_years,week_out,week_out2
the beginnings,danny,7,jam doughnut,6,2,NA,1,the beginnings7,0.5417952328730775,0.6666666666666666,3,0,0,1,0,0,0.9647640590818618,0.8679867986798679,0,0,1,danny_the beginnings,0,0,9,0
the beginnings,james,7,jam doughnut,7,1,NA,1,the beginnings7,0.9210518958842316,0.8333333333333333,3,0,0,1,0,0,1.2995906936517247,1,0,0,0,james_the beginnings,0,0,NA,0
the beginnings,john,7,jam doughnut,5,3,NA,1,the beginnings7,0.1625385698619233,0.5,2,0,1,0,0,0,0.629937424511999,0.7343234323432344,0,0,1,john_the beginnings,0,0,NA,0
the beginnings,ryan,7,jam doughnut,1,6,NA,1,the beginnings7,-1.3544880821826935,0,1,1,0,0,0,0,-0.3745424791975895,0.3795379537953796,1,0,0,ryan_the beginnings,1,0,7,1
the beginnings,sarah-jane,7,jam doughnut,8,7,NA,1,the beginnings7,1.3003085588953858,0.9999999999999999,4,0,0,0,1,0,-0.7093691137674523,0.28712871287128716,0,1,0,sarah-jane_the beginnings,1,0,7,1
the beginnings,brendan,8,chocolate teacakes,3,2,NA,1,the beginnings8,0,0.5,2,0,1,0,0,0,0.9647640590818618,0.8679867986798679,0,0,1,brendan_the beginnings,0,0,NA,0
the beginnings,cathryn,8,chocolate teacakes,2,5,NA,1,the beginnings8,-0.6324555320336759,0.25,1,1,0,0,0,0,-0.03971584462772664,0.48679867986798675,0,0,0,cathryn_the beginnings,1,0,8,1
the beginnings,danny,8,chocolate teacakes,1,4,NA,1,the beginnings8,-1.2649110640673518,0,1,1,0,0,0,0,0.2951107899421362,0.6039603960396039,1,0,0,danny_the beginnings,0,0,9,0
the beginnings,james,8,chocolate teacakes,5,1,NA,1,the beginnings8,1.2649110640673518,1,4,0,0,0,1,0,1.2995906936517247,1,0,1,0,james_the beginnings,0,0,NA,0
the beginnings,john,8,chocolate teacakes,4,3,NA,1,the beginnings8,0.6324555320336759,0.75,3,0,0,1,0,0,0.629937424511999,0.7343234323432344,0,0,1,john_the beginnings,0,0,NA,0
the beginnings,brendan,9,fraisier cake,2,3,NA,1,the beginnings9,-0.3872983346207417,0.3333333333333333,2,0,1,0,0,0,0.629937424511999,0.7343234323432344,0,0,0,brendan_the beginnings,0,0,NA,0
the beginnings,danny,9,fraisier cake,3,4,NA,1,the beginnings9,0.3872983346207417,0.6666666666666666,3,0,0,1,0,0,0.2951107899421362,0.6039603960396039,0,0,1,danny_the beginnings,1,0,9,1
the beginnings,james,9,fraisier cake,4,1,NA,1,the beginnings9,1.161895003862225,1,4,0,0,0,1,0,1.2995906936517247,1,0,1,0,james_the beginnings,0,0,NA,0
the beginnings,john,9,fraisier cake,1,2,NA,1,the beginnings9,-1.161895003862225,0,1,1,0,0,0,0,0.9647640590818618,0.8679867986798679,1,0,0,john_the beginnings,0,0,NA,0
the beginnings,brendan,10,fondant fancies,1,2,both brendan and john came second,1,the beginnings10,-1,0,1,1,0,0,0,0,0.9647640590818618,0.8679867986798679,1,0,0,brendan_the beginnings,0,0,NA,0
the beginnings,james,10,fondant fancies,3,1,NA,1,the beginnings10,1,1,3,0,0,1,0,0,1.2995906936517247,1,0,1,0,james_the beginnings,0,0,NA,0
the beginnings,john,10,fondant fancies,2,2,NA,1,the beginnings10,0,0.5,2,0,1,0,0,0,0.9647640590818618,0.8679867986798679,0,0,1,john_the beginnings,1,0,NA,0
collection 2,ali,1,angel food cake,8,11,NA,1,collection 21,0.25677629550654774,0.5833333333333333,3,0,0,1,0,0,-2.0486756520469034,0.04785478547854782,0,0,1,ali_collection 2,1,0,4,0
collection 2,beca,1,angel food cake,4,8,NA,1,collection 21,-0.7703288865196433,0.25,1,1,0,0,0,0,-1.0441957483373152,0.20792079207920788,0,0,0,beca_collection 2,0,0,9,0
collection 2,christine,1,angel food cake,1,3,NA,1,collection 21,-1.5406577730392865,0,1,1,0,0,0,0,0.629937424511999,0.7343234323432344,1,0,0,christine_collection 2,0,0,8,0
collection 2,deborah,1,angel food cake,12,9,NA,1,collection 21,1.2838814775327387,0.9166666666666667,4,0,0,0,1,0,-1.379022382907178,0.14356435643564358,0,0,0,deborah_collection 2,0,0,3,0
collection 2,frances,1,angel food cake,5,7,NA,1,collection 21,-0.5135525910130955,0.3333333333333333,2,0,1,0,0,0,-0.7093691137674523,0.28712871287128716,0,0,0,frances_collection 2,0,0,NA,0
collection 2,glenn,1,angel food cake,10,4,NA,1,collection 21,0.7703288865196433,0.75,3,0,0,1,0,0,0.2951107899421362,0.6039603960396039,0,0,0,glenn_collection 2,0,0,7,0
collection 2,howard,1,angel food cake,11,6,NA,1,collection 21,1.027105182026191,0.8333333333333334,4,0,0,0,1,0,-0.3745424791975895,0.3795379537953796,0,0,0,howard_collection 2,0,0,6,0
collection 2,kimberley,1,angel food cake,9,10,NA,1,collection 21,0.5135525910130955,0.6666666666666666,3,0,0,1,0,0,-1.7138490174770407,0.08910891089108908,0,0,1,kimberley_collection 2,1,0,NA,0
collection 2,lucy,1,angel food cake,7,2,NA,1,collection 21,0,0.49999999999999994,2,0,1,0,0,0,0.9647640590818618,0.8679867986798679,0,0,1,lucy_collection 2,0,0,2,0
collection 2,mark,1,angel food cake,6,5,NA,1,collection 21,-0.25677629550654774,0.41666666666666663,2,0,1,0,0,0,-0.03971584462772664,0.48679867986798675,0,0,1,mark_collection 2,0,0,3,0
collection 2,robert,1,angel food cake,2,1,NA,1,collection 21,-1.2838814775327387,0.08333333333333333,1,1,0,0,0,0,1.2995906936517247,1,0,0,0,robert_collection 2,0,0,5,0
collection 2,ruby,1,angel food cake,3,12,NA,1,collection 21,-1.027105182026191,0.16666666666666666,1,1,0,0,0,0,-2.3835022866167663,0.018151815181518205,0,0,0,ruby_collection 2,1,0,NA,0
collection 2,toby,1,angel food cake,13,13,NA,1,collection 21,1.5406577730392865,1,4,0,0,0,1,0,-2.7183289211866293,0.0016501650165016146,0,1,0,toby_collection 2,1,0,1,1
collection 2,ali,2,english muffins,7,9,NA,0,collection 22,0.1386750490563073,0.5454545454545455,3,0,0,1,0,0,-1.379022382907178,0.14356435643564358,0,0,1,ali_collection 2,1,0,4,0
collection 2,beca,2,english muffins,6,11,NA,0,collection 22,-0.1386750490563073,0.4545454545454546,2,0,1,0,0,0,-2.0486756520469034,0.04785478547854782,0,0,1,beca_collection 2,1,0,9,0
collection 2,christine,2,english muffins,5,4,NA,0,collection 22,-0.41602514716892186,0.36363636363636365,2,0,1,0,0,0,0.2951107899421362,0.6039603960396039,0,0,1,christine_collection 2,0,0,8,0
collection 2,deborah,2,english muffins,11,8,NA,0,collection 22,1.2480754415067656,0.9090909090909093,4,0,0,0,1,0,-1.0441957483373152,0.20792079207920788,0,0,0,deborah_collection 2,0,0,3,0
collection 2,frances,2,english muffins,3,2,NA,0,collection 22,-0.9707253433941511,0.18181818181818182,1,1,0,0,0,0,0.9647640590818618,0.8679867986798679,0,0,0,frances_collection 2,0,0,NA,0
collection 2,glenn,2,english muffins,4,7,NA,0,collection 22,-0.6933752452815365,0.2727272727272727,2,0,1,0,0,0,-0.7093691137674523,0.28712871287128716,0,0,0,glenn_collection 2,0,0,7,0
collection 2,howard,2,english muffins,9,10,NA,0,collection 22,0.6933752452815365,0.7272727272727274,3,0,0,1,0,0,-1.7138490174770407,0.08910891089108908,0,0,0,howard_collection 2,1,0,6,0
collection 2,kimberley,2,english muffins,10,1,NA,0,collection 22,0.9707253433941511,0.8181818181818183,4,0,0,0,1,0,1.2995906936517247,1,0,0,0,kimberley_collection 2,0,0,NA,0
collection 2,lucy,2,english muffins,1,12,NA,0,collection 22,-1.52542553961938,0,1,1,0,0,0,0,-2.3835022866167663,0.018151815181518205,1,0,0,lucy_collection 2,1,0,2,1
collection 2,mark,2,english muffins,2,6,NA,0,collection 22,-1.2480754415067656,0.09090909090909091,1,1,0,0,0,0,-0.3745424791975895,0.3795379537953796,0,0,0,mark_collection 2,0,0,3,0
collection 2,robert,2,english muffins,8,5,NA,0,collection 22,0.41602514716892186,0.6363636363636365,3,0,0,1,0,0,-0.03971584462772664,0.48679867986798675,0,0,1,robert_collection 2,0,0,5,0
collection 2,ruby,2,english muffins,12,3,NA,0,collection 22,1.52542553961938,1.0000000000000002,4,0,0,0,1,0,0.629937424511999,0.7343234323432344,0,1,0,ruby_collection 2,0,0,NA,0
collection 2,ali,3,floating islands,5,5,NA,1,collection 23,-0.30151134457776363,0.4,2,0,1,0,0,0,-0.03971584462772664,0.48679867986798675,0,0,1,ali_collection 2,0,0,4,0
collection 2,beca,3,floating islands,9,10,NA,1,collection 23,0.9045340337332909,0.7999999999999999,3,0,0,1,0,0,-1.7138490174770407,0.08910891089108908,0,0,0,beca_collection 2,1,0,9,0
collection 2,christine,3,floating islands,7,4,NA,1,collection 23,0.30151134457776363,0.6,3,0,0,1,0,0,0.2951107899421362,0.6039603960396039,0,0,1,christine_collection 2,0,0,8,0
collection 2,deborah,3,floating islands,1,9,NA,1,collection 23,-1.507556722888818,0,1,1,0,0,0,0,-1.379022382907178,0.14356435643564358,1,0,0,deborah_collection 2,1,0,3,1
collection 2,frances,3,floating islands,4,8,NA,1,collection 23,-0.6030226891555273,0.30000000000000004,2,0,1,0,0,0,-1.0441957483373152,0.20792079207920788,0,0,0,frances_collection 2,0,0,NA,0
collection 2,glenn,3,floating islands,2,1,NA,1,collection 23,-1.2060453783110545,0.1,1,1,0,0,0,0,1.2995906936517247,1,0,0,0,glenn_collection 2,0,0,7,0
collection 2,howard,3,floating islands,6,7,NA,1,collection 23,0,0.5,2,0,1,0,0,0,-0.7093691137674523,0.28712871287128716,0,0,1,howard_collection 2,0,0,6,0
collection 2,kimberley,3,floating islands,8,6,NA,1,collection 23,0.6030226891555273,0.7,3,0,0,1,0,0,-0.3745424791975895,0.3795379537953796,0,0,1,kimberley_collection 2,0,0,NA,0
collection 2,mark,3,floating islands,10,11,NA,1,collection 23,1.2060453783110545,0.8999999999999999,4,0,0,0,1,0,-2.0486756520469034,0.04785478547854782,0,0,0,mark_collection 2,1,0,3,1
collection 2,robert,3,floating islands,11,2,NA,1,collection 23,1.507556722888818,0.9999999999999999,4,0,0,0,1,0,0.9647640590818618,0.8679867986798679,0,1,0,robert_collection 2,0,0,5,0
collection 2,ruby,3,floating islands,3,3,NA,1,collection 23,-0.9045340337332909,0.2,1,1,0,0,0,0,0.629937424511999,0.7343234323432344,0,0,0,ruby_collection 2,0,0,NA,0
collection 2,ali,4,egg custard tarts,6,8,NA,1,collection 24,0.3651483716701107,0.625,3,0,0,1,0,0,-1.0441957483373152,0.20792079207920788,0,0,1,ali_collection 2,1,0,4,1
collection 2,beca,4,egg custard tarts,2,2,NA,1,collection 24,-1.0954451150103321,0.125,1,1,0,0,0,0,0.9647640590818618,0.8679867986798679,0,0,0,beca_collection 2,0,0,9,0
collection 2,christine,4,egg custard tarts,3,7,NA,1,collection 24,-0.7302967433402214,0.25,1,1,0,0,0,0,-0.7093691137674523,0.28712871287128716,0,0,0,christine_collection 2,1,0,8,0
collection 2,frances,4,egg custard tarts,1,1,NA,1,collection 24,-1.4605934866804429,0,1,1,0,0,0,0,1.2995906936517247,1,1,0,0,frances_collection 2,0,0,NA,0
collection 2,glenn,4,egg custard tarts,7,9,NA,1,collection 24,0.7302967433402214,0.75,3,0,0,1,0,0,-1.379022382907178,0.14356435643564358,0,0,0,glenn_collection 2,1,0,7,0
collection 2,howard,4,egg custard tarts,4,5,NA,1,collection 24,-0.3651483716701107,0.375,2,0,1,0,0,0,-0.03971584462772664,0.48679867986798675,0,0,1,howard_collection 2,0,0,6,0
collection 2,kimberley,4,egg custard tarts,9,4,NA,1,collection 24,1.4605934866804429,1,4,0,0,0,1,0,0.2951107899421362,0.6039603960396039,0,1,0,kimberley_collection 2,0,0,NA,0
collection 2,robert,4,egg custard tarts,5,3,NA,1,collection 24,0,0.5,2,0,1,0,0,0,0.629937424511999,0.7343234323432344,0,0,1,robert_collection 2,0,0,5,0
collection 2,ruby,4,egg custard tarts,8,6,NA,1,collection 24,1.0954451150103321,0.875,4,0,0,0,1,0,-0.3745424791975895,0.3795379537953796,0,0,0,ruby_collection 2,0,0,NA,0
collection 2,beca,5,tuiles,8,5,NA,1,collection 25,1.4288690166235207,0.9999999999999998,4,0,0,0,1,0,-0.03971584462772664,0.48679867986798675,0,1,0,beca_collection 2,0,0,9,0
collection 2,christine,5,tuiles,3,1,NA,1,collection 25,-0.6123724356957946,0.2857142857142857,2,0,1,0,0,0,1.2995906936517247,1,0,0,0,christine_collection 2,0,0,8,0
collection 2,frances,5,tuiles,4,3,NA,1,collection 25,-0.20412414523193154,0.42857142857142855,2,0,1,0,0,0,0.629937424511999,0.7343234323432344,0,0,1,frances_collection 2,0,0,NA,0
collection 2,glenn,5,tuiles,1,2,NA,1,collection 25,-1.4288690166235207,0,1,1,0,0,0,0,0.9647640590818618,0.8679867986798679,1,0,0,glenn_collection 2,0,0,7,0
collection 2,howard,5,tuiles,6,8,NA,1,collection 25,0.6123724356957946,0.7142857142857142,3,0,0,1,0,0,-1.0441957483373152,0.20792079207920788,0,0,1,howard_collection 2,1,0,6,0
collection 2,kimberley,5,tuiles,2,7,NA,1,collection 25,-1.0206207261596576,0.14285714285714285,1,1,0,0,0,0,-0.7093691137674523,0.28712871287128716,0,0,0,kimberley_collection 2,1,0,NA,0
collection 2,robert,5,tuiles,5,4,NA,1,collection 25,0.20412414523193154,0.5714285714285714,3,0,0,1,0,0,0.2951107899421362,0.6039603960396039,0,0,1,robert_collection 2,0,0,5,1
collection 2,ruby,5,tuiles,7,6,NA,1,collection 25,1.0206207261596576,0.857142857142857,4,0,0,0,1,0,-0.3745424791975895,0.3795379537953796,0,0,0,ruby_collection 2,0,0,NA,0
collection 2,beca,6,apricot couronne,7,6,NA,1,collection 26,1.3887301496588271,0.9999999999999999,4,0,0,0,1,0,-0.3745424791975895,0.3795379537953796,0,1,0,beca_collection 2,1,0,9,0
collection 2,christine,6,apricot couronne,2,4,NA,1,collection 26,-0.9258200997725514,0.16666666666666666,1,1,0,0,0,0,0.2951107899421362,0.6039603960396039,0,0,0,christine_collection 2,0,0,8,0
collection 2,frances,6,apricot couronne,1,2,NA,1,collection 26,-1.3887301496588271,0,1,1,0,0,0,0,0.9647640590818618,0.8679867986798679,1,0,0,frances_collection 2,0,0,NA,0
collection 2,glenn,6,apricot couronne,3,5,NA,1,collection 26,-0.4629100498862757,0.3333333333333333,2,0,1,0,0,0,-0.03971584462772664,0.48679867986798675,0,0,0,glenn_collection 2,0,0,7,0
collection 2,howard,6,apricot couronne,5,7,NA,1,collection 26,0.4629100498862757,0.6666666666666666,3,0,0,1,0,0,-0.7093691137674523,0.28712871287128716,0,0,1,howard_collection 2,1,0,6,1
collection 2,kimberley,6,apricot couronne,4,3,NA,1,collection 26,0,0.5,2,0,1,0,0,0,0.629937424511999,0.7343234323432344,0,0,1,kimberley_collection 2,0,0,NA,0
